subj_idx,ns,block_id,stim_id,rt,resp,corr_resp,acc,feedback,FBProb,stim_ctr,delay,early_late,pcor
268,5,2,1,0.6919959,2,2,1,2,0.8,7.0,5,0,6
268,5,2,2,0.6424165,1,1,1,1,0.2,8.0,8,0,7
268,5,2,4,0.67466,1,1,1,1,0.2,6.0,3,0,5
268,5,2,3,0.7379588,0,0,1,2,0.8,7.0,7,0,5
268,5,2,3,0.7663351,0,0,1,1,0.8,8.0,1,0,6
268,5,2,0,0.6341999,2,2,1,1,0.5,8.0,7,0,4
268,5,2,4,0.6991872,1,1,1,1,0.2,7.0,4,0,6
268,5,2,0,0.7136056,2,2,1,2,0.5,9.0,2,1,5
268,5,2,2,0.6473391,1,1,1,1,0.2,9.0,7,1,8
268,5,2,1,0.6460754,2,2,1,2,0.8,8.0,9,0,7
268,5,2,1,0.7747841,2,2,1,1,0.8,9.0,1,1,8
268,5,2,4,0.8497267,1,1,1,1,0.2,8.0,5,0,7
268,5,2,3,0.6496694,0,0,1,2,0.8,9.0,8,1,7
268,5,2,4,0.5858855,1,1,1,1,0.2,9.0,2,1,8
268,5,2,1,0.972777,2,2,1,1,0.8,10.0,4,1,9
268,5,2,2,0.5918597,1,1,1,1,0.2,10.0,7,1,9
268,5,2,4,0.5623855,1,1,1,2,0.2,10.0,3,1,9
268,5,2,3,0.6139718,0,0,1,2,0.8,10.0,5,1,8
268,5,2,0,0.6798188,2,2,1,2,0.5,10.0,11,1,6
268,2,3,0,0.8811529,1,0,0,0,0.5,1.0,0,0,0
268,2,3,0,0.5517678,0,0,1,2,0.5,2.0,0,0,0
268,2,3,1,0.6840065,1,2,0,0,0.8,1.0,0,0,0
268,2,3,1,0.3465574,2,2,1,2,0.8,2.0,0,0,0
268,2,3,0,0.8545033,0,0,1,1,0.5,3.0,3,-1,1
268,2,3,0,0.6376024,0,0,1,2,0.5,4.0,1,-1,2
268,2,3,1,0.4302097,2,2,1,2,0.8,3.0,3,-1,1
268,2,3,1,0.5353421,2,2,1,2,0.8,4.0,1,-1,2
268,2,3,0,0.5887377,0,0,1,2,0.5,5.0,3,0,3
268,2,3,1,0.3828158,2,2,1,1,0.8,5.0,2,0,3
268,2,3,1,0.5539417,2,2,1,1,0.8,6.0,1,0,4
268,2,3,0,0.3978109,0,0,1,1,0.5,6.0,3,0,4
268,2,3,1,0.6159602,2,2,1,2,0.8,7.0,2,0,5
268,2,3,0,0.6017253,0,0,1,2,0.5,7.0,2,0,5
268,2,3,1,0.3960762,2,2,1,2,0.8,8.0,2,0,6
268,2,3,0,0.3902349,0,0,1,1,0.5,8.0,2,0,6
268,2,3,1,0.5601478,2,2,1,2,0.8,9.0,2,1,7
268,2,3,0,0.579487,0,0,1,1,0.5,9.0,2,1,7
268,2,3,0,0.5015137,0,0,1,1,0.5,10.0,1,1,8
268,2,3,1,0.588412,2,2,1,2,0.8,10.0,3,1,8
268,2,4,0,0.4943861,1,1,1,2,0.2,1.0,0,0,0
268,2,4,0,0.676426,1,1,1,1,0.2,2.0,1,-1,1
268,2,4,1,0.4347421,0,2,0,0,0.8,1.0,0,0,0
268,2,4,0,0.7314758,1,1,1,1,0.2,3.0,2,-1,2
268,2,4,1,0.3768317,2,2,1,1,0.8,2.0,0,0,0
268,2,4,1,0.9799558,2,2,1,1,0.8,3.0,1,-1,1
268,2,4,0,0.4871202,1,1,1,1,0.2,4.0,3,0,3
268,2,4,1,0.3972228,2,2,1,2,0.8,4.0,2,-1,2
268,2,4,0,0.6796978,1,1,1,1,0.2,5.0,2,0,4
268,2,4,0,0.5986975,1,1,1,1,0.2,6.0,1,0,5
268,2,4,1,0.3929256,2,2,1,2,0.8,5.0,3,0,3
268,2,4,1,0.5313853,2,2,1,2,0.8,6.0,1,0,4
268,2,4,0,0.3921203,1,1,1,1,0.2,7.0,3,0,6
268,2,4,0,0.7384509,1,1,1,1,0.2,8.0,1,0,7
268,2,4,1,0.4148644,2,2,1,2,0.8,7.0,3,0,5
268,2,4,1,0.4564121,2,2,1,2,0.8,8.0,1,0,6
268,2,4,0,0.5762949,1,1,1,2,0.2,9.0,3,1,8
268,2,4,1,0.483707,2,2,1,2,0.8,9.0,2,1,7
268,2,4,0,0.6978467,1,1,1,1,0.2,10.0,2,1,9
268,2,4,1,0.3606537,2,2,1,2,0.8,10.0,2,1,8
268,3,5,0,0.591536,0,0,1,1,0.2,1.0,0,0,0
268,3,5,0,0.6418955,0,0,1,2,0.2,2.0,1,-1,1
268,3,5,1,0.6741021,1,0,0,0,0.8,1.0,0,0,0
268,3,5,2,0.5453842,2,1,0,0,0.5,1.0,0,0,0
268,3,5,1,0.7890894,0,0,1,2,0.8,2.0,0,0,0
268,3,5,0,0.799713,0,0,1,1,0.2,3.0,4,-1,2
268,3,5,1,0.5226275,0,0,1,2,0.8,3.0,2,-1,1
268,3,5,2,0.9757315,1,1,1,1,0.5,2.0,0,0,0
268,3,5,1,0.8189576,0,0,1,2,0.8,4.0,2,-1,2
268,3,5,2,0.4764445,1,1,1,2,0.5,3.0,2,-1,1
268,3,5,0,0.4671337,0,0,1,1,0.2,4.0,5,0,3
